Language,numberofpages,author,bookEdition,description,title,GoodReadAverageRating,bookformat,NumberofRatings,id
English,133 pages,Chuck Dixon,Graphic Novel,'The Hobbit' is the story of Bilbo Baggins…a quiet and contented hobbit whose life is turned upside down when he joins the wizard Gandalf and thirteen dwarves on their quest to,The Hobbit,4.48,Paperback,159416,659469
English,418 pages,Pearl S. Buck,(Enriched Classics),Hard times come upon Wang Lung and his family w,The Good Earth,3.97,Paperback,194121,1078
English,322 pages,Jim Butcher,First Edition," at what he does. So when the Chicago P.D. has a case that transcends mortal creativity or capability, they come to him for answers. For th",Storm Front,4.02,Mass Market Paperback,221280,47212
English,310 pages,P.C. Cast,First Edition,"Zoey, High Priestess in training, has managed to settle in at the House of Night and come to terms with the vast powers the Vampyre Goddess Nyx has given her. Just as she finally feels she belongs, the unthinkable happens: human teenagers are being killed, and all evidence points to the House of Night. While d",Betrayed: a House of Night Novel,3.93,Paperback,213829,676924
English,748 pages,Christopher Paolini,First Edition,"It's been only months since Eragon first uttered ""brisingr"", an ancient language term for fire. Since then, he's not only learned to create magic with words — he's been challenged to his very core. Following the colossal battle against the Empires warriors on the Burning Plains, Eragon and his dragon, Saphira, have narrowly",Brisingr,4.03,Hardcover,228709,2248573
English,470 pages,Lauren Oliver,Enhanced Edition, bestselling author Lauren Oliver emerged as one of today's foremost authors of young adult fiction. Like Jay Asher's ,Before I Fall,3.92,Paperback,235831,6482837
English,212 pages,Stephen Hawking,Updated & Expanded 10th Anniversary,"In the ten years since its publication in 1988, Stephen Hawking's classic work has become a landmark volume in scientific writing, with more than nine million copies in forty languages sold worldwide. That edition was on the cutting edge of what was then known about the origins and nature of the universe. But the intervening years have seen extraordinary advances in the technology of observing both the micro- and the macrocosmic worlds. These observations have confirmed many of Professor Hawking's theoretical predictions in the first edition of his book, including the recent discoveries of the Cosmic Background Explorer satellite (COBE), which probed back in time to within 300,000 years of the universe's beginning and revealed wrinkles in the fabric of space-time that he had projected. Eager to bring to his original text the new knowledge revealed by these observations, as well as his own recent research, Professor Hawking has prepared a new introduction to the book, written an entirely new chapter on wormholes and time travel, and updated the chapters throughout.",A Brief History of Time: From the Big Bang to Black Holes,4.12,Paperback,184631,3869
English,427 pages,Becca Fitzpatrick,First Edition,"Nora Grey's life is still far from perfect. Surviving an attempt on her life wasn't pleasant, but at least she got a guardian angel out of it. A mysterious, magnetic, gorgeous guardian angel. But despite his role in her life, Patch has been acting anything but angelic. He's more elusive than ever (if that's possible) and what's worse, he seems to be spending time with Nora's archenemy, Marcie Millar.",Crescendo,4.07,Hardcover,235223,7791997
English,340 pages,Arundhati Roy,1st American,"The year is 1969. In the state of Kerala, on the southernmost tip of India, fraternal twins Esthappen and Rahel fashion a childhood for themselves in the shade of the wreck that is their family. Their lonely, lovely mother, Ammu, (who loves by night the man her children love by day), fled an abusive marriage to live with their blind grandmother, Mammachi (who plays Handel on her violin), their beloved uncle Chacko (Rhodes scholar, pickle baron, radical Marxist, bottom-pincher), and their enemy, Baby Kochamma (ex-nun and incumbent grandaunt). When Chacko's English ex-wife brings their daughter for a Christmas visit, the twins learn that things can change in a day, that lives can twist into new, ugly shapes, even cease forever, beside their river...",The God of Small Things,3.92,Hardcover,183865,9777
English,467 pages,Haruki Murakami,US / Canada," is powered by two remarkable characters: a teenage boy, Kafka Tamura, who runs away from home either to escape a gruesome oedipal prophecy or to search for his long-missing mother and sister; and an aging simpleton called Nakata, who never recovered from a wartime affliction and now is drawn toward Kafka for reasons that, like the most basic activities of daily life, he cannot fathom.",海辺のカフカ [Umibe no Kafuka],4.13,Paperback,198043,4929
English,301 pages,Alyson Noel,1st Edition,"After a horrible accident claims the lives of her family, sixteen-year-old Ever Bloom can see people's auras, hear their thoughts, and know someone's entire life story by touching them. Going out of her way to avoid human contact to suppress her abilities, she has been branded a freak at her new high school — but everything changes when she meets Damen Auguste.",Evermore,3.59,Paperback,236666,3975774
English,489 pages,Richelle Mead,1st Edition,"Scorpio Richelle Mead is a New York Times and USA Today bestselling author of urban fantasy books for both adults and teens. Originally from Michigan, Richelle now lives in Seattle, Washington where she works on her three series full-time: Georgina Kincaid, Dark Swan, and Vampire Academy.",Spirit Bound,4.37,Hardcover,235901,6479259
English,291 pages,Betty Edwards,Third Edition," was first published in 1979, it hit the ",Drawing on the Right Side of the Brain,3.84,Paperback,224453,627206
English,471 pages,Ernest Hemingway,UK / CAN,"Ernest Miller Hemingway was an American author and journalist. His economical and understated style had a strong influence on 20th-century fiction, while his life of adventure and his public image influenced later generations. Hemingway produced most of his work between the mid-1920s and the mid-1950s, and won the Nobel Prize in Literature in 1954. He published seven novels, six short story collections and two non-fiction works. Three novels, four collections of short stories and three non-fiction works were published posthumously. Many of these are considered classics of American literature.",For Whom the Bell Tolls,3.96,Paperback,207535,46170
English,337 pages,Susan Cain,First Edition (U.S.),"At least one-third of the people we know are introverts. They are the ones who prefer listening to speaking, reading to partying; who innovate and create but dislike self-promotion; who favor working on their own over brainstorming in teams. Although they are often labeled ""quiet,"" it is to introverts that we owe many of the great contributions to society--from van Gogh’s sunflowers to the invention of the personal computer.",Quiet: The Power of Introverts in a World that Can't Stop Talking,4.04,Hardcover,224075,8520610
English,432 pages,James Frey,Oprah's Book Club,"At the age of 23, James Frey woke up on a plane to find his front teeth knocked out and his nose broken. He had no idea where the plane was headed nor any recollection of the past two weeks. An alcoholic for ten years and a crack addict for three, he checked into a treatment facility shortly after landing. There he was told he could either stop using or die before he reached age 24. This is Frey's acclaimed account of his six weeks in rehab.",A Million Little Pieces,3.62,Paperback,190633,1241
English,544 pages,Bill Bryson,First Trade Paperback Edition,"In Bryson's biggest book, he confronts his greatest challenge: to understand—and, if possible, answer—the oldest, biggest questions we have posed about the universe and ourselves. Taking as territory everything from the Big Bang to the rise of civilization, Bryson seeks to understand how we got from there being nothing at all to there being us. To that end, he has attached himself to a host of the world’s most advanced (and often obsessed) archaeologists, anthropologists, and mathematicians, travelling to their offices, laboratories, and field camps. He has read (or tried to read) their books, pestered them with questions, apprenticed himself to their powerful minds. ",A Short History of Nearly Everything,4.19,Paperback,208323,21
English,326 pages,Philip Pullman,First American Edition,"Each is searching—Lyra for the meaning of Dark Matter, Will for his missing father—but what they find instead is a deadly secret, a knife of untold power. And neither",The Subtle Knife,4.1,Hardcover,272568,119324
English,608 pages,Charles Dickens,Penguin Classics,"The story of the orphan Oliver, who runs away from the workhouse only to be taken in by a den of thieves, shocked readers when it was first published. Dickens's tale of childhood innocence beset by evil depicts the dark criminal underworld of a London peopled by vivid and memorable characters — the arch-villain Fagin, the artful Dodger, the menacing Bill Sikes and the prostitute Nancy. Combining elements of Gothic Romance, the Newgate Novel and popular melodrama, in ",Oliver Twist,3.85,Paperback,255288,18254
English,483 pages,Stephen King,17th Impression,"Stephen Edwin King was born the second son of Donald and Nellie Ruth Pillsbury King. After his father left them when Stephen was two, he and his older brother, David, were raised by his mother. Parts of his childhood were spent in Fort Wayne, Indiana, where his father's family was at the time, and in Stratford, Connecticut. When Stephen was eleven, his mother brought her children back to Durham, M",Salem's Lot,3.99,Paperback,247917,11590
English,204 pages,Hunter S. Thompson,Second Vintage Books Edition,"Hunter Stockton Thompson was an American journalist and author, famous for his book ",Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,4.08,Paperback,243742,7745
English,502 pages,Cassandra Clare,Collector's First Edition,"In the magical underworld of Victorian London, Tessa Gray has at last found safety with the Shadowhunters. But that safety proves fleeting when rogue forces in the Clave plot to see her protector, Charlotte, replaced as head of the Institute. If Charlotte loses her position, Tessa will be out on the street—and easy prey for the mysterious Magister, who wants to use Tessa’s powers for his own dark ends.",Clockwork Prince,4.46,Hardcover,332364,10025305
English,683 pages,Homer,Deluxe Edition,"In the Western classical tradition, Homer (Greek: ",Ἰλιάς,3.83,Paperback,276123,1371
English,440 pages,Pittacus Lore,1st Edition,"Our plan was to grow, and train, and become strong, and become one",I Am Number Four,3.94,Hardcover,271987,7747374
English,503 pages,J.K. Rowling,First Edition (US),"Pagford is, seemingly, an English idyll, with a cobbled market square and an ancient abbey, but what lies behind the pretty façade is a town at war.",The Casual Vacancy,3.28,Hardcover,255899,13497818
"
                  ",32 pages,Margaret Wise Brown,60th Anniversary Edition,"In this classic of children's literature,","
                  0060775858
                      ",4.27,Hardcover,253433,32929
English,154 pages,L. Frank Baum,Penguin Popular Classics,"Dorothy thinks she's lost forever when a tornado whirls her and her dog, Toto, into a magical world. To get home, she must find the wonderful wizard in the Emerald City of Oz. On the way she meets the Scarecrow, the Tin Woodman and the Cowardly Lion. But the Wicked Witch of the West has her own plans for the new arrival - will Dorothy ever see",The Wonderful Wizard of Oz,3.98,Paperback,281436,236093
English,206 pages,Randy Pausch,First edition, -- Randy,The Last Lecture,4.25,Hardcover,249841,2318271
English,338 pages,Sylvia Day,First Edition,.,Reflected in You,4.33,Paperback,268502,13596809
English,146 pages,Roald Dahl,Borzoi Book Edition,"When James accidentally drops some magic crystals by the old peach tree, strange things start to happen. The peach at the top of the tree begins to grow, and before long it's as big as a house. When James discovers a secret entranceway into the fruit and crawls inside, he meets wonderful new friends--the Old-Green-Grasshopper, the dainty Ladybug, and the Centipede of the multiple boots. After years of feeling like an outsider in his aunts' house, James finally found a place where he belongs. With a snip of the stem, the peach household starts rolling away--and the adventure begins!",James and the Giant Peach,3.99,Hardcover,292148,6689
English,994 pages,Patrick Rothfuss,First Edition,”,The Wise Man's Fear,4.57,Hardcover,285975,1215032
English,424 pages,Cassandra Clare,1st Edition,"The Mortal War is over, and sixteen-year-old Clary Fray is back home in New York, excited about all the possibilities before her. She’s training to become a Shadowhunter and to use her unique power. Her mother is getting married to the love of her life. Downworlders and Shadowhunters are at peace at last. And—most importantly of all—she can finally call Jace her boyfriend.",City of Fallen Angels,4.16,Hardcover,376216,6752378
English,199 pages,Rhonda Byrne,10th Anniversary Edition ,"Rhonda Byrne is an Australian television writer and producer, best known for her New Thought works, The Secret—a book and a film by the same name. By the Spring of 2007 the book had sold almost 4 million copies, and the DVD had sold more than 2 million copies. She has also been a producer for Sensing Murder. According to an article published by Australia's Herald Sun, Byrne has also worked on the",The Secret,3.62,Hardcover,253270,52529
English,720 pages,Ayn Rand,25 Aniv Edition ,"When The Fountainhead was first published, Ayn Rand''s daringly original literary vision and her groundbreaking philosophy, Objectivism, won immediate worldwide interest and acclaim. This instant classic is the story of an intransigent young architect, his violent battle against conventional standards, and his explosive love affair with a beautiful woman who struggles to defeat him. This edition contains a special afterword by Rand's literary executor, Leonard Peikoff, which includes excerpts from Ayn Rand's own notes on the making of The Fountainhead. As fresh today as it was then, here is a novel about a hero-and about those who try to destroy him.",The Fountainhead,3.85,Mass Market Paperback,256309,2122
English,343 pages,John Tiffany,"Special Rehearsal Edition Script, UK","It was always difficult being Harry Potter and it isn't much easier now that he is an overworked employee of the Ministry of Magic, a husband, and father of three school-age children.","Harry Potter and the Cursed Child, Parts One and Two",3.75,Hardcover,407859,29056083
English,448 pages,Mario Puzo,US,"Almost fifty years ago, a classic was born. A searing portrayal of the Mafia underworld, The Godfather introduced readers to the first family of American crime fiction, the Corleones, and their powerful legacy of tradition, blood, and honor. The seduction of power, the pitfalls of greed, and",The Godfather,4.36,Paperback,271721,22034
English,176 pages,Shel Silverstein,20th Anniversary Edition with CD, includes a CD of highlights from his,A Light in the Attic,4.34,Hardcover,306978,30118
English,232 pages,Gail Carson Levine,First Scholastic Edition,"At birth, Ella is inadvertently cursed by an imprudent young fairy named Lucinda, who bestows on her the ""gift"" of obedience. Anything anyone tells her to do, Ella must obey. Another girl might have been cowed by this affliction, but not feisty Ella: ""Instead of making me docile, Lucinda's curse made a rebel o",Ella Enchanted,3.97,Paperback,347442,24337
English,440 pages,Kristin Hannah,1st Edition,"Despite their differences, sisters Vianne and Isabelle have always been close. Younger, bolder Isabelle lives in Paris while Vianne is content with life in the French countryside with her husband Antoine and their daughter. But when the Second World War strikes, Antoine is sent off to fight and Vianne finds herself isolated so Isabelle is sent by their father to help her. ",The Nightingale,4.54,Hardcover,335497,21853621
English,362 pages,James Dashner,1st Edition, Thomas was sure that escape from the Maze would mean freedom for him and the Gladers. But WICKED isn’t done yet. Phase Two has just begun. The Scorch. ,The Scorch Trials,3.93,Hardcover,349471,7631105
English,496 pages,Betty  Smith,Deckle Page Edition," is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of",A Tree Grows In Brooklyn ,4.24,Paperback,310632,14891
English,349 pages,Greg Mortenson,Non-Classics,"Anyone who despairs of the individual’s power to change lives has to read the story of Greg Mortenson, a homeless mountaineer who, following a 1993 climb of Pakistan’s treacherous K2, was inspired by a chance encounter with impoverished mountain villagers and promised to build them a school. Over the next decade he built fifty-five schools—especially for girls—that offer a balanced education in one of the most isolated and dangerous regions on earth. As it chronicles Mortenson’s quest, which has brought him into conflict with both enraged Islamists and uncomprehending Americans, ",Three Cups of Tea ,3.64,Paperback,289762,49436
English,372 pages,Stephen R. Covey,Anniversary Edition," author Stephen R. Covey presents a holistic, integrated, principle-centered approach for solving personal and professional problems. With penetrating insights and pointed anecdotes, Covey reveals a step-by-step pathway for living with fairness, integrity, service, and human dignity -- principles that give us the security to adapt",The 7 Habits of Highly Effective People,4.05,Paperback,340130,36072
English,306 pages,P.C. Cast,1st edition,"After a Vampire Tracker Marks her with a crescent moon on her forehead, 16-year-old Zoey Redbird enters the House of Night and learns that she is no average fledgling. She has been Marked as special by the vampyre Goddess Nyx and has affinities for all five elements: Air, Fire Water, Earth and Spirit. But she",Marked,3.79,Paperback,372860,30183
English,316 pages,R.J. Palacio,Books for Young Readers,"August (Auggie) Pullman was born with a facial deformity that prevented him from going to a mainstream school—until now. He's about to start 5th grade at Beecher Prep, and if you've ever been the new kid then you know how hard that can be. The thing is Auggie's just an ordinary kid, with an extraordinary face. But can he convince his new classmates that he's just like them, despite appearances?",Wonder,4.43,Hardcover,390173,11387515
English,298 pages,William Shakespeare,Folger Shakespeare Library,"Shakespeare's intertwined love polygons begin to get complicated from the start--Demetrius and Lysander both want Hermia but she only has eyes for Lysander. Bad news is, Hermia's father wants Demetrius for a son-in-law. On the outside is Helena, whose unreturned love burns hot for Demetrius. Hermia and Lysander plan to flee from the city under cover of darkness but are pursued by an enraged Demetrius (who is himself pursued by an enraptured Helena). In the forest, unbeknownst to the mortals, Oberon and Titania (King and Queen of the faeries) are having a spat over a servant boy. The plot twists up when Oberon's head mischief-maker, Puck, runs loose with a flower which causes people to fall in love with the first thing they see upon waking. Throw in a group of labourers preparing a play for the Duke's wedding (one of whom is given a donkey's head and Titania for a lover by Puck) and the complications become fantastically funny.",A Midsummer Night's Dream,3.94,Paperback,364140,1622
English,390 pages,Marissa Meyer,First Edition,"Sixteen-year-old Cinder is considered a technological mistake by most of society and a burden by her stepmother. Being cyborg does have its benefits, though: Cinder's brain interference has given her an uncanny ability to fix things (robots, hovers, her own malfunctioning parts), making her the best mechanic in New Beijing. This reputation brings Prince Kai himself to her weekly market booth, needing her to repair a broken android before the annual ball. He jokingly calls it ""a matter of national security,"" but Cinder suspects it's more serious than he's letting on.",Cinder,4.15,Hardcover,462326,11235712
English,348 pages,Gabriel García Márquez,First Vintage International Edition,"In their youth, Florentino Ariza and Fermina Daza fall passionately in love. When Fermina eventually chooses to marry a wealthy, well-born doctor, Florentino is devastated, but he is a romantic. As he rises in his business career he whiles away the years in 622 affairs--yet he reserves his heart for Fermina. Her husband dies at last, and Florentino purposefully attends the funeral. Fifty years, nine months, and four days after he first declared his love for Fermina, he will do so again.",El amor en los tiempos del cólera,3.89,Paperback,325361,9712
English,461 pages,Dan Brown,First Edition,", ",Inferno,3.8,Hardcover,349235,17212231
English,767 pages,C.S. Lewis,Reissue Edition,", written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books followed, and together they became known as ",The Chronicles of Narnia,4.24,Paperback,403874,11127
English,338 pages,Sylvia Day,First Edition,Gideon ,Bared to You,4.19,Paperback,388254,13572249
English,249 pages,Jane Austen,Oxford World's Classics,"Twenty-seven-year old Anne Elliot is Austen's most adult heroine. Eight years before the story proper begins, she is happily betrothed to a naval officer, Frederick Wentworth, but she precipitously breaks off the engagement when persuaded by her friend Lady Russell that such a match is unworthy. The breakup produces in Anne a deep and long-lasting regret. When later Wentworth returns from sea a rich and successful captain, he finds Anne's family on the brink of financial ruin and his own sister a tenant in Kellynch Hall, the Elliot estate. All the tension of the novel revolves around one question: Will Anne and Wentworth be reunited in their love?",Persuasion,4.13,Paperback,405758,2156
English,452 pages,Lauren Kate,1st Edition,"17-year-old Lucinda falls in love with a gorgeous, intelligent boy, Daniel, at her new school, the grim, foreboding Sword & Cross . . . only to find out that Daniel is a fallen angel, and that they have spent lifetimes finding and losing one another as good & evil forces plot to keep them apart. ",Fallen,3.74,Hardcover,410927,6487308
English,447 pages,Erik Larson,Abridged,"Two men, each handsome and unusually adept at his chosen work, embodied an element of the great dynamic that characterized America's rush toward the twentieth century. The architect was Daniel Hudson Burnham,","The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",3.98,Audio Cassette,353490,21996
English,601 pages,John Steinbeck,Centennial Edition,"Set in the rich farmland of California’s Salinas Valley, this sprawling and often brutal novel follows the intertwined destinies of two families—the Trasks and the Hamiltons—whose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel. Here Steinbeck created some of his most memorable characters and explored his most enduring themes: the mystery of identity; the inexplicability of love; and the murderous consequences of love’s absence.",East of Eden  ,4.35,Paperback,338930,4406
English,320 pages,Janet Evanovich,First St. Martin's Griffin Edition,"Janet Evanovich is the #1 New York Times bestselling author of the Stephanie Plum series, the Lizzy and Diesel series, twelve romance novels, the Alexandra Barnaby novels and Trouble Maker graphic novel, and How I Write: Secrets of a Bestselling Author, as well as the Fox and O'Hare series with co-author Lee Goldberg.",One for the Money,4.03,Paperback,405609,6853
English,391 pages,Becca Fitzpatrick,First Edition,But after a series of t,"Hush, Hush",4.0,Hardcover,465268,6339664
English,509 pages,Dan Brown,First Edition,", Dan Brown demonstrates once again why he is the world's most popular thriller writer. ",The Lost Symbol,3.66,Hardcover,407982,6411961
English,1216 pages,J.R.R. Tolkien,50th Anniversary One-volume Edition, and ,The Lord of the Rings,4.47,Paperback,439911,33
English,400 pages,Erin Morgenstern,First Edition,"The circus arrives without warning. No announcements precede it. It is simply there,",The Night Circus,4.03,Hardcover,479738,9361589
English,661 pages,Philippa Gregory,First Touchstone Edition 2003,"When Mary Boleyn comes to court as an innocent girl of fourteen, she catches the eye of Henry VIII. Dazzled, Mary falls in love with both her golden prince and her growing role as unofficial queen. However, she soon realises just how much she is a pawn in her family's ambitious plots as the king's interest begins to wane and she is forced to step aside for her best friend and rival: her sister, Anne. Then Mary knows that she must defy her family and her king and take fate into her own hands.",The Other Boleyn Girl,4.04,Paperback,400719,37470
English,343 pages,Truman Capote,First Vintage International edition,"As Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the kille",In Cold Blood,4.05,Paperback,404812,168642
English,671 pages,Fyodor Dostoyevsky,Penguin Classics, put Dostoevsky at the forefront of Russian writers when it appeared in 1866 and is now one of the most famous and influential novels in world literature.,Преступление и наказание,4.18,Paperback,448923,7144
English,964 pages,Leo Tolstoy,Movie Tie-In,"In their world frivolous liaisons are commonplace, but Anna and Vronsky’s consuming passion makes them a target for sco",Анна Каренина,4.02,Paperback,477020,15823480
English,474 pages,Jane Austen,Penguin Classics,"Beautiful, clever, rich - and single - Emma Woodhouse is perfectly content with her life and sees no need for either love or marriage. Nothing, however, delights her more than interfering in the romantic lives of others. But when she ignores the warnings of her good friend Mr. Knightley and attempts to arrange a suitable match for her protegee Harriet Smith, her carefully laid plans soon unravel and have consequences that she never expected. With its imperfect but charming heroine and its witty and subtle exploration of relationships, Emma is often seen as Jane Austen's most flawless work.",Emma,3.99,Paperback,502258,6969
English,1153 pages,Stephen King,Complete & Uncut Edition,And here is the bleak new world of the day after: a world stripped of its institutions and emptied of 99 percent of its people. A world in which a handful of panicky survivors choose sides or are,The Stand,4.34,Hardcover,474063,149267
English,481 pages,Cassandra Clare,First Edition, bestselling Mortal Instruments series.,Clockwork Angel,4.33,Hardcover,520434,7171637
English,635 pages,Neil Gaiman,the author's preferred text,"Together they embark on a profoundly strange journey across the heart of the USA, whilst all around them a s",American Gods,4.11,Paperback,527655,4407
English,557 pages,Rick Riordan,First Edition,"He doesn’t remember anything before waking up in a bus full of kids on a field trip. Apparently he has a girlfriend named Piper, and a best friend named Leo. They’re all students at a boarding school for “bad kids.” What did Jason do to end up here? And where is here, exactly?",The Lost Hero,4.35,Paperback,493333,7736182
English,453 pages,Cassandra Clare,1st Edition,"Clary Fray just wishes that her life would go back to normal. But what's normal when you're a demon-slaying Shadowhunter, your mother is in a magically induced coma, and you can suddenly see Downworlders like werewolves, vampires, and faeries? If Clary left the world of the Shadowhunters behind, it would mean",City of Ashes,4.21,Hardcover,590079,1582996
English,505 pages,Charles Dickens,Oxford World's Classics,"In what may be Dickens's best novel, humble, orphaned Pip is apprenticed to the dirty work of the forge but dares to dream of becoming a gentleman — and one day, under sudden and enigmatic circumstances, he finds himself in possession of ""great expectations."" In this gripping tale of crime and guilt, revenge and reward, the compelling characters include Magwitch, the fearful and fearsome convict; Estella, whose beauty is excelled only by her haughtiness; and the embittered Miss Havisham, an eccentric jilted bride.",Great Expectations,3.75,Paperback,510899,2623
English,233 pages,Tracy Chevalier, Deluxe Edition,"With precisely 35 canvases to his credit, the Dutch painter Johannes Vermeer represents one of the great enigmas of 17th-century art. The meager facts of his biography have been gleaned from a handful of legal documents. Yet Vermeer's extraordinary paintings of domestic life, with their subtle play of light and texture, have come to define the Dutch golden age. His portrait of the anonymous Girl with a Pearl Earring has exerted a particular fascination for centuries - and it is this magnetic painting that lies at the heart of Tracy Chevalier's second novel of the same title.",Girl with a Pearl Earring,3.85,Paperback,497161,2865
English,771 pages,Donna Tartt,First American Edition,"It begins with a boy. Theo Decker, a thirteen-year-old New Yorker, miraculously survives an accident that kills his mother. Abandoned by his father, Theo is taken in by the family of a wealthy friend. Bewildered by his strange new home on Park Avenue, disturbed by schoolmates who don't know how to talk to him, and tormented above all by his unbearable longing for his mother, he clings to one thing that reminds him of her: a small, mysteriously captivating painting that ultimately draws Theo into the underworld of art.",The Goldfinch,3.87,Hardcover,469661,17333223
English,563 pages,Stieg Larsson,Borzoi (US),"Lisbeth Salander - the heart of Larsson's two previous novels - lies in critical condition, a bullet wound to her head, in the intensive care unit of a Swedish city hospital. She's fighting for her life in more ways than one: if and when she recovers, she'll be taken back to Stockhol",Luftslottet som sprängdes,4.2,Hardcover,530331,6892870
English,352 pages,Ransom Riggs,First Edition,"A horrific family tragedy sets sixteen-year-old Jacob journeying to a remote island off the coast of Wales, where he discovers the crumbling ruins of Miss Peregrine’s Home for Peculiar Children. As Jacob explores its abandoned bedrooms and hallways, it becomes clear that the children w",Miss Peregrine’s Home for Peculiar Children,3.89,Hardcover,684411,9460487
English,238 pages,Nathaniel Hawthorne,Penguin Classics,"Set in the harsh Puritan community of seventeenth-century Boston, this tale of an adulterous entanglement that results in an illegitimate birth reveals Nathaniel Hawthorne's concerns with the tension between the public and the private selves. Publicly disgraced and ostracized, Hester Prynne draws on her inner strength and certainty of spirit to emerge as the first true heroine of American fiction. Arthur Dimmesdale, trapped by the rules of society, stands as a classic study of a self divided.",The Scarlet Letter,3.37,Paperback,561071,12296
"
                  ",196 pages,Mitch Albom,First,"In heaven, five people explain yo",The Five People You Meet in Heaven,3.9,Paperback,476286,3431
English,75 pages,John Grisham,Penguin Readers,"""Long before his name became synonymous with the modern legal thriller, he was working 60-70 hours a week at a small Southaven, Mississippi law practice, squeezing in time before going to the office and during courtroom recesses to work on his hobby—writing his first novel.",The Firm,3.99,Paperback,490887,5358
English,541 pages,Cassandra Clare,1st Edition,"To save her mother's life, Clary must travel to the City of Glass, the ancestral home of the Shadowhunters - never mind that entering the city without permission is against the Law, and breaking the Law could mean death. To make things worse, she learns that Jace does not want her there, and Simon has been thr",City of Glass,4.34,Hardcover,636392,3777732
", ",331 pages,Vladimir Nabokov,"New Edition, Penguin Modern Classics","Humbert Humbert - scholar, aesthete and romantic - has fallen completely and utterly in love with Lolita Haze, his landlady's gum-snapping, silky skinned twelve-year-old daughter. Reluctantly agreeing to marry Mrs Haze just to be close to Lolita, Humbert suffers greatly in the pursuit of romance; but when Lo herself starts looking for attention elsewhere, he will carry her off on a desperate cross-country misadventure, all in the name of Love. Hilarious, flamboyant, heart-breaking and full of ingenious word play, Lolita is an immaculate, unforgettable masterpiece of obsession, delusion and lust.",Lolita,3.88,Paperback,521162,7604
English,241 pages,Cormac McCarthy,First Edition,"A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind. It is cold enough to crack stones, and when the snow falls it is gray. The sky is dark. Their destination is the coast, although they don’t know what, if anything, awaits",The Road,3.95,Hardcover,558985,6288
English,1276 pages,Alexandre Dumas,Penguin Classics,"Thrown in prison for a crime he has not committed, Edmond Dantès is confined to the grim fortress of If. There he learns of a great hoard of treasure hidden on the Isle of Monte Cristo and he becomes determined not only to escape, but also to unearth the treasure and use it to plot the destruction of the three men responsi",Le Comte de Monte-Cristo,4.22,Paperback,605021,7126
English,752 pages,Stieg Larsson,First US Edition,"When a young couple are found dead in their Stockholm apartment, it's a",Flickan som lekte med elden,4.22,Mass Market Paperback,654393,5060378
English,526 pages,Veronica Roth,UK Hardcover,"The faction-based society that Tris Prior once believed in is shattered - fractured by violence and power struggles and scarred by loss and betrayal. So when offered a chance to explore the world past the limits she's known, Tris is ready. Perhaps beyond the fence, she and Tobias will find a simple new life together, free from complicated lies, tangled loyalties, and painful memories.",Allegiant,3.63,Hardcover,667767,18710190
English,488 pages,Bram Stoker,Norton Critical Edition,"A rich selection of background and source materials is provided in three areas: Contexts includes probable inspirations for Dracula in the earlier works of James Malcolm Rymer and Emily Gerard. Also included are a discussion of Stoker's working notes for the novel and ""Dracula's Guest,"" the original opening chapter to Dracula. Reviews and Reactions reprints five early reviews of the novel. ""Dramatic and Film Variations"" focuses on theater and film adaptations of Dracula, two indications of the novel's unwavering appeal. David J. Skal, Gregory A. Waller, and Nina Auerbach offer their varied perspectives. Checklists of both dramatic and film adaptations are included.",Dracula,3.98,Paperback,697634,17245
English,532 pages,E.L. James,First Edition,"Daunted by the singular sexual tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship to start a new career with a Seattle publishing house. But desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Anastasia cannot resist. They rekindle their searing sensual affair, and Anastasia learns more about the harrowing past of her damaged, driven, and demanding Fifty Shades. While Christian wrestles with his inner demons, Anastasia must confront her anger and envy of the women who came before her and make the most important decision of her life. Erotic, sparkling and suspenseful, ",Fifty Shades Darker,3.87,Paperback,625675,11857408
English,254 pages,Oscar Wilde,Modern Library Classics,"﻿Written in his distinctively dazzling manner, Oscar Wilde’s story of a fashionable young man who sells his soul for eternal youth and beauty is the author’s most popular work. The tale of Dorian Gray’s moral disintegration caused a scandal when it ﬁrst appeared in 1890, but though Wilde was attacked for the novel’s corrupting inﬂuence, he responded that there is, in fact, “a terrible moral in ",The Picture of Dorian Gray,4.06,Paperback,682240,5297
English,398 pages,William Goldman,30th Anniversary Edition,"As a boy, William Goldman claims, he loved to hear his father read the S. Morgenstern classic, The Princess Bride. But as a grown-up he discovered that the boring parts were left out of good old Dad's recitat",The Princess Bride,4.25,Paperback,659744,21787
