Language,id,title,GoodReadAverageRating,description,author,NumberofRatings
English,1875,Histoire de la sexualité 1. La Volonté de savoir,4.03,"Michel Foucault was a French philosopher, social theorist and historian of ideas. He held a chair at the Collège de France with the title ""History of Systems of Thought,"" and lectured at the University at Buffalo and the University of California, Berkeley.",Michel Foucault,14032
English,206193,Takedown,4.26,"After years without a terrorist attack on American soil, one group has picked the 4th of July weekend to pull out all the stops. In a perfectly executed attack, all of the bridges and tunnels leading into and out of Manhattan are destroyed just as thousands of commuters begin their holiday exodus. With domestic efforts focused on search and rescue, a deadly team of highly trained foreign soldiers methodically makes its way through the city with the singular objective of locating one of their own -- a man so powerful that America will do anything to keep him hidden. ",Brad Thor,15292
English,148809,The Fourth Bear,4.07," Five years ago, Viking introduced Jasper Fforde and his upsidedown, inside-out literary crime masterpieces. And as they move from Thursday Next to Jack Spratt’s Nursery Crimes, his audience is insatiable and growing. Now, with ",Jasper Fforde,18785
English,1317696,The Enchantress of Florence,3.57,"A tall, yellow-haired young European traveller calling himself 'Mogor dell'Amore', the Mughal of Love, arrives at the court of the real Grand Mughal, the Emperor Akbar, with a tale to tell that begins to obsess the whole imperial capital. The stranger claims to be the child of a lost Mughal princess, the youngest sister of Akbar's grandfather Babar: Qara Koz, 'Lady Black Eyes', a great beauty believed to possess powers of enchantment and sorcery, who is taken captive first by an Uzbek warlord, then by the Shah of Persia, and finally becomes the lover of a certain Argalia, a Florentine soldier of fortune, commander of the armies of the Ottoman Sultan. When Argalia returns home with his Mughal mistress the city is mesmerized by her presence, and much trouble ensues.""The Enchantress of Florence"" is the story of a woman attempting to command her own destiny in a man's world. It brings together two cities that barely know each other - the hedonistic Mughal capital, in which the brilliant emperor wrestles daily with questions of belief, desire and the treachery of sons, and the equally sensual Florentine world of powerful courtesans, humanist philosophy and inhuman torture, where Argalia's boyhood friend ""il Machia"" - Niccolo' Machiavelli - is learning, the hard way, about the true brutality of power. These two worlds, so far apart, turn out to be uncannily alike, and the enchantments of women hold sway over them both. But is Mogor's story true? And if so, then what happened to the lost princess? And if he's a liar, must he die? ",Salman Rushdie,14597
", ",24488476,B00QQMG6B8,4.32," bestselling I Am Number Four series! For years the Garde have fought the Mogadorians in secret. Now all of that has changed. The invasion has begun. If the Garde can't find a way to stop the Mogs, humanity will suffer the same fate as the Lorien: annihilation.",Pittacus Lore,19262
"
                  ",89731,"
                  0689856407
                      ",3.9, because its color is deep but see-through at the same time. The sea is ,Cynthia Kadohata,19137
English,6471550,"The Unwritten, Volume 1: Tommy Taylor and the Bogus Identity",3.76,"Tom Taylor's life was screwed from go. His father created the Tommy Taylor fantasy series, boy-wizard novels with popularity on par with Harry Potter. The problem is Dad modeled the fictional epic so closely to Tom's real life that fans are constantly comparing him to his counterpart, turning him into the lamest variety of Z-level celebrity. In the final novel, it's even implied that the fictional Tommy will crossover into the real world, giving delusional fans more excuses to harass Tom.",Mike Carey,17088
English,15698479,The Human Division,4.07,", John Scalzi tells the story of the fight to maintain the unity of the human race.",John Scalzi,17360
English,6329547,On the Edge,4.03,Rose thoug,Ilona Andrews,28638
English,17285883,The Undead Pool,4.43,Rachel must stop the occurrences before the undead vampire masters,Kim Harrison,21698
English,32445,Strange Highways,3.83,"Acknowledged as ""America's most popular suspense novelist"" (Rolling Stone) and as one of today's most celebrated and successful writers, Dean Ray Koontz has earned the devotion of millions of readers around the world and the praise of critics everywhere for tales of character, mystery, and adventure that strike to the core of what it means to be human.",Dean Koontz,15988
English,206236,The Power of the Dog,4.36, bestselling author of ,Don Winslow,14671
English,15047,The Passion,4.12," is perhaps her most highly acclaimed work, a modern classic that confirms her special claim on the novel. Set during the tumultuous years of the Napoleonic Wars, ",Jeanette Winterson,15020
English,48183,The Honk and Holler Opening Soon,3.93,"Caney Paxton wanted his cafe to have the biggest and brightest sign in Eastern Oklahoma-the ""opening soon"" part was supposed to be just a removable, painted notice. But a fateful misunderstanding gave Vietnam vet Caney the flashiest joke in the entire state. Twelve years later, the once-busy highway is dead and the sign is as worn as Caney, who hasn't ventured outside the diner since it opened. Then one blustery December day, a thirtyish Crow woman blows in with a three-legged dog in her arms and a long-buried secret on her mind. Hiring on as a carhop, Vena Takes Horse is soon shaking up business, the locals, and Caney's heart...as she teaches them all about generosity of spirit, love, and the possibility of promise-just like the sign says.",Billie Letts,17118
English,25817162,America's First Daughter,4.22,From her earliest,Stephanie Dray,20215
English,39796,Villospår,4.05,In the award-winning ,Henning Mankell,15827
"
                  ",15828714,Sometimes It Lasts,4.28,"After waiting for his big break, bad boy Cage York is finally called up to prove his worth in the college baseball arena. But when Cage’s girlfriend, Eva, mourns the sudden loss of her father, it’s not Cage’s comfortin",Abbi Glines,24046
English,18222699,Graduation Day,3.81,"In a scarred and brutal future, The United Commonwealth teeters on the brink of all-out civil war. The rebel resistance plots against a government that rules with cruelty and cunning. Gifted student and Testing survivor Cia Vale vows to fight. But she can't do it alone. This is the chance to lead that Cia has trained for - but who will follow? Plunging through layers of danger and deception, Cia must risk the lives of those she loves - and gamble on the loyalty of her lethal classmates.",Joelle Charbonneau,18166
English,123063,Under the Skin,3.72,"In this haunting, entrancing novel, Michel Faber introduces us to Isserley, a female driver who cruises the Scottish Highlands picking up hitchhikers. Scarred and awkward, yet strangely erotic and threatening, she listens to her hitchhikers as they open up to her, revealing clues about who might miss them if they should disappear. A grotesque and comical allegory, ",Michel Faber,15495
English,102459,Hellboy: Wake the Devil,4.2,"Mike Mignola was born September 16, 1960 in Berkeley, California and grew up in nearby Oakland. His fascination with ghosts and monsters began at an early age (he doesn't remember why) and reading ",Mike Mignola,14514
English,164719,Lord Loss,4.21,"Grubbs Grady has stiff red hair and is a little big for his age, which means he can get into R-rated movies. He hates history and loves bacon, rats, and playing tricks on his squeamish older sister. When he opts out of a family weekend trip, he never guesses that he is about to take a terrifying journey into darkness. Hungry demons and howling werewolves haunt his waking nightmares... and threaten his life.",Darren Shan,16934
English,11256293,"Life is What You Make It: A Story of Love, Hope and How Determination Can Overcome Even Destiny",3.54,"Set across two cities in India in the early eighties, ",Preeti Shenoy,12507
English,12143200,Drift: The Unmooring of American Military Power,4.07,"""One of my favorite ideas is, never to keep an unnecessary soldier,"" Thomas Jefferson wrote in 1792. Neither Jefferson nor the other Found­ers could ever have envisioned the modern national security state, with its tens of thousands of ""privateers""; its bloated Department of Homeland Security; its rust­ing nuclear weapons, ill-maintained and difficult to dismantle; and its strange fascination with an unproven counterinsurgency doctrine. ",Rachel Maddow,15113
English,6460331,Runaway ,3.92,"She's on the run from school, from work, from her family, from her friends, from herself.",Meg Cabot,21775
English,28483,The Seventh Gate,4.09, bestselling ,Margaret Weis,15595
English,17863,Accelerando,3.87,Struggling to survive and thrive in this a,Charles Stross,15881
English,4703427,Dust of Dreams,4.31,"In Letherii, the exiled Malazan army commanded by Adjunct Tavore begins its march into the eastern Wastelands, to fight for an unknown cause against an enemy it has never seen.",Steven Erikson,16632
English,71784,Mitford Years New Song Unabridged,4.28,"In A New Song, Mitford's longtime Episcopal priest, Father Tim, retires. However, new challenges and adventures await when he agrees to serve as interim minister of a small church on Whitecap Island. He and his wife, Cynthia, soon find that Whitecap has its own unforgettable characters: a church organist with a mysterious past, a lovelorn bachelor placing personal ads, a mother battling paralyzing depression. They also find that Mitford is never far away when circumstances ""back home"" keep their phone ringing off the hook. In this fifth novel of the beloved series, fans old and new will discover that a trip to Mitford and Whitecap is twice as good for the soul.",Jan Karon,16847
English,1291211,Class A (Cherub #2),4.27,Keith Moore is Europe's biggest cocaine dealer. The police have been trying to get enough evidence to nail him for more than twenty years.,Robert Muchamore,15843
English,1747182,Deeper than the Dead,4.05,"California, 1985. Four children, running in the woods behind their school, stumble upon a partially buried female body, eyes and mouth glued shut. Close behind the children is their teacher, Anne Navarre, shocked by this discovery and heartbroken as she witnesses the end of their innocence. What she doesn’t yet realize is that this will mark the end of innocence for an entire community, as the ties that bind families and friends are tested by secrets uncovered in the wake of a serial killer’s escalating activity.",Tami Hoag,17695
English,840163,Flight Of The Old Dog,4.08," is the runaway bestseller that launched the phenomenal career of Dale Brown. It is the riveting story of America's race for technology, overtaken by our greatest enemy's mastery of ""Star Wars."" The U.S. arsenal of nuclear missiles has been neutralized. America's only hope: The Old Dog Zero One, a battle-scarred bomber fully renovated with modern hardware - and equipped with the deadliest state-of-the-art armaments known to man... ",Dale Brown,13972
English,25813937,Glory over Everything: Beyond The Kitchen House,4.24,"Published in 2010, ",Kathleen Grissom,17061
English,13374,A Complicated Kindness,3.64,"""Half of our family, the better-looking half, is missing,"" Nomi Nickel tells us at the beginning of A Complicated Kindness. Left alone with her sad, peculiar father, her days are spent",Miriam Toews,15899
English,23209971,Girl at War,3.98,"Zagreb, summer of 1991. Ten-year-old Ana Jurić is a carefree tomboy who runs the streets of Croatia's capital with her best friend, Luka, takes care of her baby sister, Rahela, and idolizes her father. But as civil war breaks out across Yugoslavia, soccer games and school lessons are supplanted by sniper fire and air raid drills. When tragedy suddenly strikes, Ana is lost to a world of guerilla warfare and child soldiers; a daring escape plan to America becomes her only chance for survival.",Sara Nović,16227
English,2761356,The Sweet Gum Tree,4.3,"Sweet tea, corn bread, and soup beans—everyday fare for eight-year-old Alix French, the precocious darling of a respected southern family. But nothing was ordinary about the day she met ten-year-old Nick Anderson, a boy from the wrong side of town. Armed with only a tin of bee balm and steely determination, Alix treats the raw evidence of a recent beating that mars his back, an act that changes both of their lives forever.",Katherine Allred,24503
English,1729146,Raven Rise,4.2,There's only one thing missing - Bobby Pendragon.,D.J. MacHale,18302
English,250,Tropic of Capricorn,3.85,"After living in Paris in the 1930s, he returned to the United States and settled in Big Sur, Calif. Miller's first tw",Henry Miller,13575
English,905382,Anne Frank : The Biography,4.31,"She was born in Vienna. After working as an au pair for some time in London, Müller decides first for a study of the management economics and German Studies, afterwards she worked for different restaurant editorships and - magazines.",Melissa Müller,16273
English,74169,Facing Your Giants,4.43,"With more than 125 million products in print and several NYT bestsellers, Max Lucado is America's bestselling inspirational author. He serves the Oak Hills Church in San Antonio, Texas, where he lives with his wife, Denalyn, and their mischievous mutt, Andy. His next book is publishing September 2017 and is titled ",Max Lucado,12004
English,920649,An Occurrence at Owl Creek Bridge,4.02,This book was converted from its physical edition to the digital format by a community of volunteers. You may find it for free on the,Ambrose Bierce,16417
"
                  ",8177526,Fate,3.99, series...,Amanda Hocking,19623
English,47618,Sir Thursday,3.94,On the fourth day there was war...,Garth Nix,18627
English,33418,"Parallel Worlds: A Journey Through Creation, Higher Dimensions, and the Future of the Cosmos",4.17,"In this thrilling journey into the mysteries of our cosmos, bestselling author Michio Kaku takes us on a dizzying ride to explore black holes and time machines, multidimensional space and, most tantalizing of all, the possibility that parallel universes may lay alongside our own. Kaku skillfully guides us through the latest innovations in string theory and its latest iteration, M-theory, which posits that our universe may be just one in an endless multiverse, a singular bubble floating in a sea of infinite bubble universes. If M-theory is proven correct, we may perhaps finally find answer to the question, “What happened before the big bang?” This is an exciting and unforgettable introduction into the new cutting-edge theories of physics and cosmology from one of the pre-eminent voices in the field.",Michio Kaku,13520
English,11166890,77 Shadow Street,3.29,"The Pendleton stands on the summit of Shadow Hill at the highest point of an old heartland city, a Gilded Age palace built in the late 1800s as a tycoon’s dream home. Almost from the beginning, its grandeur has been scarred by episodes of madness, suicide, mass murder, and whispers of things far worse. But since its rechristening in the 1970s as a luxury apartment building, the Pendleton has been at peace. For its fortunate residents—among them a successful songwriter and her young son, a disgraced ex-senator, a widowed attorney, and a driven money manager—the Pendleton’s magnificent quarters are a sanctuary, its dark past all but forgotten.",Dean Koontz,16628
English,1027760,Madeline and the Bad Hat,4.27,"One day the Spanish ambassador moves into the Parisian house next door to Miss Clavel, Madeline, and her 11 classmates. And, His Excellency has a boy! Pepito, as he is named, is not just any boy: according to Madeline, he is a ""bad hat""--for starters, he's equipped with an irksome slingshot, he ""ghosts,"" and he boasts. And when Miss Clavel gives him a box of tools to function as an ""outlet for his energy,"" he makes a guillotine for the cook's chickens. (""He ate them ROASTED, GRILLED, AND FRITO! Oh what a horror was PEPITO."") Children will love Ludwig Bemelmans's jaunty rhymes and simple, evocative drawings, and the ferocity with which the feisty Madeline suspects, condemns, and rebuffs the boisterous new boy neighbor. In the end, however, everything comes out right, and we, along with Miss Clavel, can relax. (Ages 4 to 8) ",Ludwig Bemelmans,16367
"
                  ",7389,"
                  0785113797
                      ",4.02,"Born in Cleveland in 1976, Brian K. Vaughan is the Eisner, Harvey, and Shuster Award-winning writer and co-creator of the critically acclaimed comics series Y: The Last Man, Runaways, and Ex Machina (picked as one of the ten best works of fiction of 2005 by Entertainment Weekly). ",Brian K. Vaughan,19087
English,13538992,Fourth Grave Beneath My Feet,4.4,"NYTimes and USA Today Bestselling Author Darynda Jones has won numerous awards for her work, including a prestigious RITA, a Golden Heart, and a Daphne du Maurier. As a born storyteller, she grew up spinning tales of dashing damsels and heroes in distress for any unfortunate soul who happened by, annoying man and beast alike. She currently has two series with St. Martin's Press, the Charley Davidson Series and the Darklight Trilogy. Darynda lives in the Land of Enchantment, also known as New Mexico, with her husband of more than 25 years and two beautiful sons, the Mighty, Mighty Jones Boys. She can be found at ",Darynda Jones,27196
English,25295,The Legend of Huma (Dragonlance: Heroes #1),4.03,On the back of the Silver Dragon,Richard A. Knaak,15786
English,89691,The Dogs of Babel,3.56,"Paul Iverson's life changes in an instant. He returns home one day to find that his wife, Lexy, has died under strange circumstances. The only witness was their dog, Lorelei, whose anguished barking brought help to the scene - but too late. In the days and weeks that follow, Paul begins to notice strange ""clues"" in their home: books rearranged on their shelves, a mysterious phone call, and other suggestions that nothing about Lexy's last afternoon was quite what it seemed. Reeling from grief, Paul is determined to decipher this evidence and unlock the mystery of her death. But he can't do it alone; he needs Lorelei's help. A linguist by training, Paul embarks on an impossible endeavor: a series of experiments designed to teach Lorelei to communicate what she knows. Perhaps behind her wise and earnest eyes lies the key to what really happened to the woman he loved. As Paul's investigation leads him in unexpected and even perilous directions, he revisits the pivotal moments of his life with Lexy, the brilliant, enigmatic woman whose sparkling passion for life and dark, troubled past he embraced equally.",Carolyn  Parkhurst,16232
English,12383869,Sever,3.8,"With the clock ticking until the virus takes its toll, Rhine is desperate for answers. After enduring Vaughn’s worst, Rhine finds an unlikely ally in his brother, an eccentric inventor named Reed. She takes refuge in his dilapidated house, though the people she left behind refuse to stay in the past. While Gabriel haunts Rhine’s memories, Cecily is determined to be at Rhine’s side, even if Linden’s feelings are still caught between them.",Lauren DeStefano,22783
English,22207,Lullabies for Little Criminals,3.95,"At thirteen, Baby vac",Heather O'Neill,15245
English,616828,Heart of Darkness,3.49,". The saga of a young, inexperienced skipper forced to decide the fate of a fugitive sailor who killed a man in self-defense. As he faces his first moral test the skipper disco",Joseph Conrad,15183
English,15833693,Waiting to Be Heard: A Memoir,3.8,"In the fall of 2007, twenty-year old college coed Amanda Knox left Seattle to study abroad in Perugia, Italy for one year. But that November 1, her life was shattered when her roommate, British student Meredith Kercher, was murdered in their apartment. Five days later, Amanda was taken into custody and charged by the Italian police; her arrest and the subsequent investigation ignited an international media firestorm. Overnight, this ordinary young American student became the subject of intense scrutiny, forced to endure a barrage of innuendo and speculation. Two years later, after an extremely controversial trial, Amanda was convicted and imprisoned. But in 2011 an appeals court overturned her conviction and vacated the charges. Free at last, she immediately returned home to the U.S., where she has remained silent, until now.",Amanda Knox,13272
English,157055,Once Upon a Marigold,3.98,"This author is not afraid to tackle difficult subjects: living with a deaf parent (Of Sound Mind), facing the consequences of a criminal act (Bad), or questioning one's sexuality (Eight Seconds). But Jean Ferris is also adept at writing comedy, historical fiction, and romance. What's most interesting is that she didn't publish her first novel until she was in her mid-40s. Yet she's never forgotten",Jean Ferris,20946
English,17860739,S.,3.84,"A young woman picks up a book left behind by a stranger. Inside it are his margin notes, which reveal a reader entranced by the story and by its mysterious author. She responds with notes of her own, leaving the book for the stranger, and so begins an unlikely conversation that plunges them both into the unknown.",J.J. Abrams,14195
English,74033,"Innocent in Death (In Death, #24)",4.36,"New York Lieutenant Eve Dallas doesn't like to see innocent people murdered. And the death of Craig Foster is clearly a murder. He was seemingly ordinary history teacher, but uncovers some extraordinary surprises. Foster's death devastated his young wife, who'd sent him to work that day with a lovingly packed lunch. It shocked his colleagues at the private school, too, and as for the ten-year-old girls who found him in his classroom in a pool of bodily fluids-they may have been traumatized for life.",J.D. Robb,21430
                                  ,14745338,B0087XDOYG,4.12,Who is the Fairest of them all?,Chanda Hahn,16565
English,89160,Judgment in Death,4.33,"In an uptown strip joint, a cop is found bludgeoned to death. The weapon's a baseball bat. The motive's a mystery. It's a case of serious overkill that pushes Eve Dallas straight",J.D. Robb,24767
English,5053,The Man from St. Petersburg,3.84,Ken Follett is one of the world’s most successful authors. Over 160 million copies of the 31 books he has written have been sold in over 80 countries and in 33 languages.,Ken Follett,16654
English,17834904,The Dead in Their Vaulted Arches,4.16,"Moments later, he is dead,",Alan Bradley,20388
English,107778,The Wedding,4.18,"1119. Journeying from England to Scotland to wed a highlander, Lady Brenna had resigned herself to the arranged match. But when a band of fierce, painted warriors captured her en route, she fearlessly met their demand to marry their leader -- the quick-tempered laird Connor MacAlister. S",Julie Garwood,23003
English,15733523,The Krishna Key,3.48,"In modern times, a poor little rich boy grows up believing that he is",Ashwin Sanghi,12738
                                  ,13502963,B007XJGAMI,4.37,"I hang my head in sorrow for just a moment when I know I am truly alone. I feel like I’m going to my execution, just as he had said. Then I move forward again. I hop a fence of fieldstone and cross a field dotted with Queen Anne’s lace. Goose bumps rise on my arms as I pass the cluster of windmills that I have seen in a drea",Amy A. Bartol,18316
English,230003,Daring to Dream,4.01,"Margo Sullivan had everything a young woman could ask for. But while growing up along the rocky cliffs of Monterey, she couldn't help but dream of bigger things. The daughter of the Templeton's stern Irish housekeep",Nora Roberts,20930
English,217433,Home Again,3.95,"Madelaine Hillyard is a world-famous heart surgeon at the top of her game. Her personal life is far less successful. A loving but overworked single mom, she is constantly at odds with her teenage daughter. At sixteen, Lina is confused, angry, and fast becoming a stranger to her mother—a rebel desperate to find the father who walked away before she was born. Complicating matters for Madelaine are the vastly different DeMarco brothers: While priest Francis DeMarco is always ready to lend a helping hand, his brother, Angel, long ago took on the role of bad boy. Years earlier Angel abandoned Madelaine—and fatherhood—to go in search of fame and fortune. His departure left Madelaine devastated, but now he reappears and seeks help from the very people he betrayed—as a patient in dire need. With Home Again, New York Times bestselling author Kristin Hannah has written a moving, powerful novel about the fragile threads that bind together our lives and the astonishing possibility of second chances.",Kristin Hannah,15690
English,13929,Wildwood Dancing,4.09,"High in the Transylvanian woods, at the castle Piscul Draculi, live five daughters and their doting father. It's an idyllic life for Jena, the second eldest, who spends her time exploring the mysterious forest with her constant companion, a most unusual frog. But best by far is the castle's hidden portal, known only to the sisters. Every Full Moon, they alone can pass through it into the enchanted world of the Other Kingdom. There they dance through the night with the fey creatures of this magical realm. ",Juliet Marillier,23044
English,2915,The River,3.78,"""We want you to do it again.""",Gary Paulsen,16746
English,761023,Books of Blood: Volume One,4.0," is a welcome chance to acquire the 16 remarkable horror short stories with which he kicked off his career. For those who already know these tales, the poignant introduction is a window on th",Clive Barker,16145
English,25372801,All the Birds in the Sky,3.58,"Childhood friends Patricia Delfine and Laurence Armstead didn't expect to see each other again, after parting ways under mysterious circumstances during high school. After all, the development of magical powers and the invention of a two-second time machine could hardly fail to alarm one's peers and families.",Charlie Jane Anders,19207
English,285500,The Declaration of Independence and The Constitution of the United States ,4.44,"On July 4, 1776, the Second Continental Congress issued a unanimous declaration: the thirteen North American colonies would be the thirteen United States of America, free and independent of Great Britain. Drafted by Thomas Jefferson, the Decl",Founding Fathers,17199
English,8535273,The Dark And Hollow Places,4.03,Annah's world s,Carrie Ryan,20494
English,13516846,Dodger,3.9,"Seventeen-year-old Dodger may be a street urchin, but he gleans a living from London's sewers, and he knows a jewel whe",Terry Pratchett,18943
English,18127101,Uganda Be Kidding Me,3.63,"On safari in Africa, it's anyone's guess as to what's more dangerous: the wildlife or Chelsea. But whether she's fumbling the s",Chelsea Handler,13678
English,6386555,Eating the Dinosaur,3.75,"Chuck Klosterman has chronicled rock music, film, and sports for almost fifteen years. He's covered extreme metal, extreme nostalgia, disposable art, disposable heroes, life on the road, life through the television, urban uncertainty and small-town weirdness. Through a variety of mediums and with a multitude of motives, he's written about everything he can think of (and a lot that he's forgotten). The world keeps accelerating, but the pop ideas keep coming.",Chuck Klosterman,13444
English,239105,The Silent Blade (Paths of Darkness #1),4.1,"Winner of the Origins Award for best game-related novel of 1998, ""The Silent Blade"" marked the return of Drizzt to the wind-swept tundra of the Forg",R.A. Salvatore,15343
English,253264,Inherit the Wind,3.96,"A meaningful play based on the Scopes Monkey Trial of 1925, in which a Tennessee teacher was tried for teaching evolution. The accused was a slight, frightened man who'd deliberately broken the law. His trial was a Roman circus, the chief gladiators being the two great legal giants of the century. Locked in mortal combat, they bellowed & roared imprecations & abuse. The spectators sat uneasily in the sweltering heat with murder in their hearts, barely restraining themselves. America's freedom was at stake.",Jerome Lawrence,17839
English,550454,Aztec,4.19,reveals the very depths of Aztec civilization from the peak and feather-banner splendor of the Aztec Capital of Tenochtitlan to the arrival of Hernán Cortes and his c,Gary Jennings,13662
English,6464094,This Book Is Not Good for You,4.29,good for you...and this story is particularly scrumptious!,Pseudonymous Bosch,17978
English,105574,Scandal in Spring,4.02,"Daisy is horrified. A Bowman never admits defeat, and she decides to do whatever it takes to marry some",Lisa Kleypas,27876
English,23316,Round Ireland with a Fridge,3.78,"Tony Hawks, is a British comedian and author, famous for his Quizotic travel accounts undertaking bizarre wagers with friends. Hawks performs stand-up comedy, and is a regular on TV and radio panel games in the UK, including I'm Sorry I Haven't a Clue, Just a Minute, The Unbelievable Truth and Have I Got News for You, although he first came to prominence as one of two resident performers — the other was Jo Brand — on semi-successful BBC monologue show The Brain Drain.",Tony Hawks,14112
English,13501,The Hedge Knight,4.11,"Contains an all new exclusive short story by George R. R. Martin! An adaptation of Martin's hit novel, bringing the world of A Song of Ice and Fire to life in comic book form. Night falls over the life of one noble knight and brings the dawn of his squire's knighthood. Dubbing himself ""Ser Duncan the Tall,"" ""The Hedge Knight"" sets forth to the tourney at Ashford Meadow in search of fame and glory and the honor of upholding his oath as a knight of the Seven Kingdoms. Unfortunately for him, the world isn't ready for a knight who keeps his oaths, and his chivalrous methods could be the very cause of his demise.",Ben Avery,16598
English,6600807,Jealousy,4.15,But a web of lies and betrayals is still closing ar,Lili St. Crow,21914
"
                  ",15742039,Breathe,4.38,"In Carnal, Colorado, Faye Goodknight is the town's quiet, shy librarian. She may also be Carnal's last remaining virgin. For years, Faye has had a crush on Chace Keaton, but the gorgeous cop has always been unattainable. She's resigned to live contentedly with only her books for company-until Faye suddenly meets Chace alone in the woods . . . ",Kristen Ashley,29461
English,1316617,Succubus On Top,4.07,"Love hurts, and no one knows it better than Georgina Kincaid. If she so much as kisses Seth Mortensen, the shy, sexy writer she's been dating, she'll drain his life force. Admittedly, the shape shifting and immortality perks of a succubus are terrific, but it's completely unfair that a she-demon whose purpose is seduction can't get down with the one mortal who accepts her for who she is. . .",Richelle Mead,26736
English,27070127,Vinegar Girl,3.42,"Kate Battista feels stuck. How did she end up running house and home for her eccentric scientist father and uppity, pretty younger sister Bunny? Plus, she's always in trouble at work - her pre-school charges ador",Anne Tyler,17525
"
                  ",393145,"
                  0763630152
                      ",4.1,"Maerad is a girl with a tragic and bitter past, but her powers grow stronger by the day. Now she and her mentor, Cadvan, hunted by both the Light and the Dark, must unravel the Riddle of the Treesong before their fractured kingdom erupts in chaos. The quest leads Maerad over terrifying seas and vast stretches of glacial wilderness, ever closer to the seductive Winterking — ally of her most powerful enemy, the Nameless One. Trapped in the Winterking's icy realm, Maerad must confront what she has suspected all along: that she is the greatest riddle of all. A sequel to THE NAMING, this second book in a captivating quartet about the ancient world of Edil-Amarandh is a sweeping epic readers won't soon forget.",Alison Croggon,18194
English,367802,Collected Poems,4.2,18 POEMS,Dylan Thomas,13859
English,41490,On the Street Where You Live,3.85,"Following a nasty divorce and the trauma of being stalked, criminal defense attorney Emily Graham leaves Albany to work in Manhattan. Craving roots, she buys her ancestral home, a Victorian house in the seaside",Mary Higgins Clark,17502
English,4352708,Bad Moon Rising,4.29,"Fang Kattalakis isn't just a wolf. He is the brother of two of the most powerful members of the Omegrion: the ruling council that enforces the laws of the Were-Hunters. And when war erupts among the lycanthropes, sides must be chosen. Enemies are forced into shaky alliances.",Sherrilyn Kenyon,24287
English,388223,"Robin Hood, le prince des voleurs",4.0,"In this book, Dumas tells the story of Robin Hood's youth: how he is delivered by an unknown man to be raised by poor but honest foresters, his great skill as an archer, how he comes i",Alexandre Dumas,15241
English,160251,Ordinary People,3.9,"In Ordinary People, Judith Guest’s remarkable first novel, the Jarrets are a typical American family. Calvin is a determined, successful provider and Beth an organized, efficient wife. They had two sons, Conrad and Buck, but now they have one. In this memorable, moving novel, Judith Guest takes the reader into their lives to share their misunderstandings, pain...and ultimate healing.",Judith Guest,15930
English,186103,Peeps,3.77,"Last year as college freshman, narrator Cal was infected by exotic goth Morgan with a parasite that caused following girlfriends to become vampire-like ghouls he calls parasite-positives ""Peeps"". A carrier without symptoms, he hunts his progeny for the centuries old bureaucratic Night Watch. But victims are showing more sanity, pretty human Lacey is pushing his buttons, and her apartment building basement houses fierce hordes of ravening rats, red-eyed cats, and monstrous worms that threaten all. Morgan has the secret to a centuries-old conspiracy and upcoming battle to save the human race.",Scott Westerfeld,22570
English,394772,The Mixed-Up Chameleon,4.21,"Eric Carle (born June 25, 1929) is a children's book author and illustrator, most famous for his book The Very Hungry Caterpillar, which has been translated into over 30 languages. Since The Very Hungry Caterpillar was published in 1969, Eric Carle has illustrated more than seventy books, many best sellers, most of which he also wrote, and more than 71 million copies of his books have sold around",Eric Carle,15925
English,9650,Burmese Days,3.84,", better known by his pen name ",George Orwell,15104
English,13157,The Jester,3.79,"Arriving home disillusioned from the Crusades, Hugh DeLuc discovers that his village has been ransacked and his wife abducted. The dark riders came in the dead of night, like devils, wearing no colours but blac",James Patterson,16745
English,14461,Kitty and the Midnight Hour,3.66,"Carrie Vaughn is best known for her New York Times bestselling series of novels about a werewolf named Kitty who hosts a talk radio show for the supernaturally disadvantaged. The fourteenth installment, Kitty Saves the World, was released in 2015. Her forthcoming novels include a near-Earth space opera, Martians Abroad, from Tor Books, and a post-apocalyptic murder mystery, Bannerless, from John J",Carrie Vaughn,26424
English,1476261,بنات الرياض,3.18,"Now in English, Alsanea’s tale of the personal struggles of four young upper-class women offers Westerners an unprecedented glimpse into a society often veiled from view. Living",Rajaa Alsanea,14475
English,235773,Waiting,3.49,"In Waiting, PEN/Hemingway Award-winning author Ha Jin draws on his intimate knowledge of contemporary China to create a novel of unexpected richness and feeling. This is the story of Lin Kong, a man living in two worlds, struggling with the conflicting claims o",Ha Jin,16244
English,9674335,"Locke & Key, Vol. 4: Keys to the Kingdom",4.44,"Joe Hill's debut, ",Joe Hill,18986
English,3347892,Envy,3.91, ,Anna Godbersen,22136
English,10596724,Horde,4.28,"Salvation is surrounded, monsters at the gates, and this time, they're not going away. When Deuce, Fade, Stalker and Tegan set out, the odds are against them. But the odds have been stacked against Deuce from the moment she was born. She might not be a Huntress anymore, but she doesn't run. With h",Ann Aguirre,19119
English,2754510,Storm Born,3.9,"Eugenie Markham is a powerful shaman who does a brisk trade banishing spirits and fey who cross into the mortal world. Mercenary, yes, but a girl's got to eat. Her most recent case, however, is enough to ruin her appetite. Hired to find a",Richelle Mead,26752
English,8462184,"The Morganville Vampires, Volume 3",4.39,"In Morganville, violent black clouds promise a storm of devastating proportions. As student Claire Danvers and her friends prepare to defend Morganville against the elements - both natural ",Rachel Caine,13950
